item_id,item_type,repo,title,status,created_date,link,notes
veridian-scripts#8,pr,FChecklist/veridian-scripts,feat: add entity/relation coordination graph to superboss-register.py,open,2026-08-01T14:39:42Z,https://github.com/FChecklist/veridian-scripts/pull/8,
projexa#74,pr,FChecklist/projexa,Correct the workspace three-column arrangement so the assistant is the centre column and its composer is never below the fold,open,2026-08-16T15:09:54Z,https://github.com/FChecklist/projexa/pull/74,
projexa#68,pr,FChecklist/projexa,ci: guardrail against provider API keys landing in projexa,open,2026-08-01T17:40:08Z,https://github.com/FChecklist/projexa/pull/68,
projexa#67,pr,FChecklist/projexa,Merge projexa PR 50,open,2026-08-01T13:51:16Z,https://github.com/FChecklist/projexa/pull/67,
projexa#63,pr,FChecklist/projexa,Fix PR 53 audit findings: punch-list PATCH gate + real role-assignment mechanism,open,2026-07-28T11:04:41Z,https://github.com/FChecklist/projexa/pull/63,
claude-control#246,pr,FChecklist/claude-control,Propagate the real preflight denial reason_code into the register row instead of the reporter name,open,2026-08-16T09:39:44Z,https://github.com/FChecklist/claude-control/pull/246,
claude-control#242,pr,FChecklist/claude-control,"RCA and resume: GTM certification worker died 2.3s after start, 52 of 70 recent failures share it",open,2026-08-15T22:19:26Z,https://github.com/FChecklist/claude-control/pull/242,
claude-control#206,pr,FChecklist/claude-control,docs(progress): final status for search-reuse-discipline task,open,2026-08-14T04:58:36Z,https://github.com/FChecklist/claude-control/pull/206,
claude-control#186,pr,FChecklist/claude-control,docs: RCA for UMR-20260813-205208-feab -- corrected killed to completed_unmerged,open,2026-08-13T21:22:24Z,https://github.com/FChecklist/claude-control/pull/186,
claude-control#114,pr,FChecklist/claude-control,rca-task-20260726-171926-remove-anthropic-api-key-dead-code-path,open,2026-07-27T14:46:46Z,https://github.com/FChecklist/claude-control/pull/114,
claude-control#91,pr,FChecklist/claude-control,Resolve PR89 merge conflict (Phase 2 policy unification),open,2026-07-26T16:27:46Z,https://github.com/FChecklist/claude-control/pull/91,
claude-control#75,pr,FChecklist/claude-control,phase_2: mark compiler pipeline/intelligence engines done,open,2026-07-25T23:38:37Z,https://github.com/FChecklist/claude-control/pull/75,
compliance-tracker#1299,pr,FChecklist/compliance-tracker,docs: audit+dispose code-touching subset of the 422 open PR backlog,open,2026-08-16T17:34:54Z,https://github.com/FChecklist/compliance-tracker/pull/1299,
compliance-tracker#1298,pr,FChecklist/compliance-tracker,PR classification and conservative disposal (422 open PRs),open,2026-08-16T17:31:06Z,https://github.com/FChecklist/compliance-tracker/pull/1298,
compliance-tracker#1297,pr,FChecklist/compliance-tracker,audit PR 991 -- re-pin veridian-ui-kit to v0.3.1 (follow-up to 988),open,2026-08-16T17:25:32Z,https://github.com/FChecklist/compliance-tracker/pull/1297,
compliance-tracker#1295,pr,FChecklist/compliance-tracker,fix: root-cause + structurally prevent recurring projexa-ai.com Vercel domain drift,open,2026-08-16T14:39:43Z,https://github.com/FChecklist/compliance-tracker/pull/1295,
compliance-tracker#1291,pr,FChecklist/compliance-tracker,"RCA: UMR-20260806-171555-e811 killed -- correctly-killed, no correction needed",open,2026-08-15T22:39:29Z,https://github.com/FChecklist/compliance-tracker/pull/1291,
compliance-tracker#1289,pr,FChecklist/compliance-tracker,"RCA: UMR-20260806-175541-f164 killed row -- duplicate dispatch, already resolved via PR #1272",open,2026-08-15T22:22:09Z,https://github.com/FChecklist/compliance-tracker/pull/1289,
compliance-tracker#1288,pr,FChecklist/compliance-tracker,AI Engineering Quality gap-closure: Code Structure & Modularity (5 findings),open,2026-08-15T22:21:47Z,https://github.com/FChecklist/compliance-tracker/pull/1288,
compliance-tracker#1287,pr,FChecklist/compliance-tracker,RCA: UMR-20260806-183347-06b0 killed,open,2026-08-15T22:19:41Z,https://github.com/FChecklist/compliance-tracker/pull/1287,
compliance-tracker#1286,pr,FChecklist/compliance-tracker,fix(security): pin transitive nanoid to 3.3.18 (CVE-2026-67213) plus commit reviewed gitleaksignore,open,2026-08-15T22:14:04Z,https://github.com/FChecklist/compliance-tracker/pull/1286,
compliance-tracker#1285,pr,FChecklist/compliance-tracker,AI Documentation / Documentation Lifecycle: re-land PR 685 content on current main,open,2026-08-15T22:05:18Z,https://github.com/FChecklist/compliance-tracker/pull/1285,
compliance-tracker#1284,pr,FChecklist/compliance-tracker,AI Model Lifecycle & Benchmarking: Ongoing Quality Monitoring,open,2026-08-15T21:59:00Z,https://github.com/FChecklist/compliance-tracker/pull/1284,
compliance-tracker#1283,pr,FChecklist/compliance-tracker,AI Engineering Quality gap-closure: header-comment check + high-risk file list,open,2026-08-15T21:44:28Z,https://github.com/FChecklist/compliance-tracker/pull/1283,
compliance-tracker#1282,pr,FChecklist/compliance-tracker,docs: AI-Readable Technical Documentation gap closure (rebased from PR #1047),open,2026-08-15T17:22:52Z,https://github.com/FChecklist/compliance-tracker/pull/1282,
compliance-tracker#1281,pr,FChecklist/compliance-tracker,AI Cost Governance & FinOps: close 4 gap-closure findings,open,2026-08-15T16:39:08Z,https://github.com/FChecklist/compliance-tracker/pull/1281,
compliance-tracker#1280,pr,FChecklist/compliance-tracker,"AI Cost Governance and FinOps (Cost Monitoring and Forecasting): duplicate dispatch, already resolved via PR 424",open,2026-08-15T16:12:19Z,https://github.com/FChecklist/compliance-tracker/pull/1280,
compliance-tracker#1277,pr,FChecklist/compliance-tracker,"RCA: UMR-20260806-084306-f599 killed row -- confirmed correctly killed, no fix needed",open,2026-08-15T15:42:41Z,https://github.com/FChecklist/compliance-tracker/pull/1277,
compliance-tracker#1274,pr,FChecklist/compliance-tracker,"RCA: UMR-20260806-171555-e811 killed row -- confirmed correctly killed, no fix needed",open,2026-08-15T14:30:43Z,https://github.com/FChecklist/compliance-tracker/pull/1274,
compliance-tracker#1273,pr,FChecklist/compliance-tracker,"RCA: UMR-20260806-183347-06b0 killed row -- kill confirmed correct, real remaining scope logged separately",open,2026-08-15T14:25:55Z,https://github.com/FChecklist/compliance-tracker/pull/1273,
compliance-tracker#1270,pr,FChecklist/compliance-tracker,[retry-2] AI Model Lifecycle & Benchmarking: doc-comment closure (findings already resolved by PR 417 + PR 1221),open,2026-08-15T14:00:01Z,https://github.com/FChecklist/compliance-tracker/pull/1270,
compliance-tracker#1267,pr,FChecklist/compliance-tracker,API Governance gap-closure: drifted changelog fix + interim API sandbox docs,open,2026-08-15T13:46:08Z,https://github.com/FChecklist/compliance-tracker/pull/1267,
compliance-tracker#1266,pr,FChecklist/compliance-tracker,docs: publish API rate-limit documentation (API Governance gap-closure),open,2026-08-15T13:39:15Z,https://github.com/FChecklist/compliance-tracker/pull/1266,
compliance-tracker#1265,pr,FChecklist/compliance-tracker,"AI Model Lifecycle and Benchmarking, Ongoing Quality Monitoring: declined, duplicate of PR 1229",open,2026-08-15T13:34:05Z,https://github.com/FChecklist/compliance-tracker/pull/1265,
compliance-tracker#1264,pr,FChecklist/compliance-tracker,AI Model Lifecycle & Benchmarking: Ongoing Quality Monitoring,open,2026-08-15T13:32:38Z,https://github.com/FChecklist/compliance-tracker/pull/1264,
compliance-tracker#1263,pr,FChecklist/compliance-tracker,AI Model Lifecycle and Benchmarking: add emergency-revert config flag - supersedes #1260,open,2026-08-15T13:24:30Z,https://github.com/FChecklist/compliance-tracker/pull/1263,
compliance-tracker#1262,pr,FChecklist/compliance-tracker,"AI Engineering Quality: dead code, duplicate code, tech debt score, complexity score, refactoring readiness",open,2026-08-15T13:08:04Z,https://github.com/FChecklist/compliance-tracker/pull/1262,
compliance-tracker#1261,pr,FChecklist/compliance-tracker,AI Engineering Quality: split task-execution-engine.ts by responsibility,open,2026-08-15T13:07:05Z,https://github.com/FChecklist/compliance-tracker/pull/1261,
compliance-tracker#1260,pr,FChecklist/compliance-tracker,AI Model Lifecycle & Benchmarking: add emergency model-revert config flag,open,2026-08-15T13:03:51Z,https://github.com/FChecklist/compliance-tracker/pull/1260,
compliance-tracker#1259,pr,FChecklist/compliance-tracker,AI Maintainability: AI Safe-Change Capability (test-coverage gap report + CI gate),open,2026-08-15T12:49:51Z,https://github.com/FChecklist/compliance-tracker/pull/1259,
compliance-tracker#1257,pr,FChecklist/compliance-tracker,AI Engineering Quality: Code Structure and Modularity gap-closure (5 findings),open,2026-08-15T12:30:27Z,https://github.com/FChecklist/compliance-tracker/pull/1257,
compliance-tracker#1256,pr,FChecklist/compliance-tracker,Review Framework gap-closure: AI Engineering Quality / Logic Separation & Determinism,open,2026-08-15T12:26:25Z,https://github.com/FChecklist/compliance-tracker/pull/1256,
compliance-tracker#1255,pr,FChecklist/compliance-tracker,AI Engineering Quality gap-closure: split task-execution-engine.ts by responsibility + tests,open,2026-08-15T12:13:19Z,https://github.com/FChecklist/compliance-tracker/pull/1255,
compliance-tracker#1254,pr,FChecklist/compliance-tracker,Review Framework gap-closure: AI Engineering Quality / AI-Modification Readiness,open,2026-08-15T12:11:59Z,https://github.com/FChecklist/compliance-tracker/pull/1254,
compliance-tracker#1253,pr,FChecklist/compliance-tracker,"AI Engineering Quality: Error Handling and Logging, duplicate finding already resolved via PR 1219/1235",open,2026-08-15T12:07:17Z,https://github.com/FChecklist/compliance-tracker/pull/1253,
compliance-tracker#1252,pr,FChecklist/compliance-tracker,task-20260718-114004-retry-0: decline as duplicate of open PR 1214/1242 (AI Engineering Quality / Logic Separation),open,2026-08-15T12:06:08Z,https://github.com/FChecklist/compliance-tracker/pull/1252,
compliance-tracker#1250,pr,FChecklist/compliance-tracker,RCA: UMR-20260806-115914-7112 (killed) confirmed correct,open,2026-08-15T11:47:12Z,https://github.com/FChecklist/compliance-tracker/pull/1250,
compliance-tracker#1249,pr,FChecklist/compliance-tracker,"RCA: UMR-20260806-170158-b2b9 killed -- confirmed correctly-killed, no correction needed",open,2026-08-15T11:45:55Z,https://github.com/FChecklist/compliance-tracker/pull/1249,
compliance-tracker#1247,pr,FChecklist/compliance-tracker,VERIDIAN Review Framework: AI Maintainability / Change Risk Management (5 findings),open,2026-08-15T11:36:08Z,https://github.com/FChecklist/compliance-tracker/pull/1247,
compliance-tracker#1246,pr,FChecklist/compliance-tracker,AI Maintainability: AI Safe-Change Capability gap-closure (test coverage tooling),open,2026-08-15T11:08:53Z,https://github.com/FChecklist/compliance-tracker/pull/1246,
compliance-tracker#1245,pr,FChecklist/compliance-tracker,VERIDIAN Review Framework: AI Engineering Quality / Technical Debt & Complexity (5 findings),open,2026-08-15T10:44:46Z,https://github.com/FChecklist/compliance-tracker/pull/1245,
compliance-tracker#1244,pr,FChecklist/compliance-tracker,"AI Engineering Quality: split dispatchEngine by responsibility, add dispatch test coverage",open,2026-08-15T10:42:30Z,https://github.com/FChecklist/compliance-tracker/pull/1244,
compliance-tracker#1243,pr,FChecklist/compliance-tracker,AI Engineering Quality: Code Structure & Modularity gap-closure (5 findings),open,2026-08-15T10:03:32Z,https://github.com/FChecklist/compliance-tracker/pull/1243,
compliance-tracker#1242,pr,FChecklist/compliance-tracker,AI Engineering Quality gap-closure: deterministic LLM-call-site audit + finding review,open,2026-08-15T09:56:55Z,https://github.com/FChecklist/compliance-tracker/pull/1242,
compliance-tracker#1241,pr,FChecklist/compliance-tracker,"docs: AI Documentation / Documentation Lifecycle gap-closure, Round 3",open,2026-08-15T09:40:02Z,https://github.com/FChecklist/compliance-tracker/pull/1241,
compliance-tracker#1240,pr,FChecklist/compliance-tracker,AI Engineering Quality gap-closure: header-comment check + high-risk file list,open,2026-08-15T09:37:34Z,https://github.com/FChecklist/compliance-tracker/pull/1240,
compliance-tracker#1239,pr,FChecklist/compliance-tracker,chore: close task-20260718-110006-retry-2 (AI-Readable Technical Documentation) as duplicate of PR 1047/1048,open,2026-08-15T09:16:58Z,https://github.com/FChecklist/compliance-tracker/pull/1239,
compliance-tracker#1238,pr,FChecklist/compliance-tracker,CRM Accounts and Contacts: close remaining Review Framework gaps,open,2026-08-15T08:47:34Z,https://github.com/FChecklist/compliance-tracker/pull/1238,
compliance-tracker#1237,pr,FChecklist/compliance-tracker,Business Rules Engine: generic condition-tree rule engine + lifecycle management,open,2026-08-15T08:21:40Z,https://github.com/FChecklist/compliance-tracker/pull/1237,
compliance-tracker#1236,pr,FChecklist/compliance-tracker,docs: close ACTIVE-CLAIMS.yaml claim for task-20260718-071005 (PR 1221 merged),open,2026-08-15T07:57:41Z,https://github.com/FChecklist/compliance-tracker/pull/1236,
compliance-tracker#1235,pr,FChecklist/compliance-tracker,ci: wire route-error-handling-check into ci.yml (follow-up to #1219),open,2026-08-15T07:47:07Z,https://github.com/FChecklist/compliance-tracker/pull/1235,
compliance-tracker#1234,pr,FChecklist/compliance-tracker,Audit and Governance: Complete Audit Stamp (session_id + officeId on audit_logs),open,2026-08-15T07:42:42Z,https://github.com/FChecklist/compliance-tracker/pull/1234,
compliance-tracker#1233,pr,FChecklist/compliance-tracker,Audit & Governance: Conversation Audit Logging -- closed as duplicate (already fixed on main),open,2026-08-15T07:41:38Z,https://github.com/FChecklist/compliance-tracker/pull/1233,
compliance-tracker#1232,pr,FChecklist/compliance-tracker,Accessibility (WCAG Compliance): automated axe-core WCAG 2.1 AA regression testing,open,2026-08-15T07:35:12Z,https://github.com/FChecklist/compliance-tracker/pull/1232,
compliance-tracker#1231,pr,FChecklist/compliance-tracker,Webhook manual dead-letter redelivery (API Governance gap-closure),open,2026-08-15T07:33:16Z,https://github.com/FChecklist/compliance-tracker/pull/1231,
compliance-tracker#1230,pr,FChecklist/compliance-tracker,feat(api-sandbox): rate-limit ceiling + docs for demo-org sandbox (API Governance gap-closure),open,2026-08-15T07:29:09Z,https://github.com/FChecklist/compliance-tracker/pull/1230,
compliance-tracker#1229,pr,FChecklist/compliance-tracker,feat: AI Model Lifecycle & Benchmarking gap-closure (3 High findings),open,2026-08-15T07:25:00Z,https://github.com/FChecklist/compliance-tracker/pull/1229,
compliance-tracker#1228,pr,FChecklist/compliance-tracker,"Architecture and Design: Engineering Principles gap-closure (docs adr, consolidated actor-context type)",open,2026-08-15T07:18:51Z,https://github.com/FChecklist/compliance-tracker/pull/1228,
compliance-tracker#1227,pr,FChecklist/compliance-tracker,AI Model Lifecycle: platform-wide emergency-revert kill switch,open,2026-08-15T07:18:39Z,https://github.com/FChecklist/compliance-tracker/pull/1227,
compliance-tracker#1226,pr,FChecklist/compliance-tracker,Accessibility (WCAG Compliance): Visual Accessibility,open,2026-08-15T07:16:58Z,https://github.com/FChecklist/compliance-tracker/pull/1226,
compliance-tracker#1225,pr,FChecklist/compliance-tracker,VERIDIAN Review Framework: Architecture & Design / Reusability Across Scope (2 Low findings),open,2026-08-15T07:10:20Z,https://github.com/FChecklist/compliance-tracker/pull/1225,
compliance-tracker#1224,pr,FChecklist/compliance-tracker,Accessibility (WCAG): Navigation & Input Accessibility,open,2026-08-15T07:01:28Z,https://github.com/FChecklist/compliance-tracker/pull/1224,
compliance-tracker#1223,pr,FChecklist/compliance-tracker,AI Platform BYOAI: add per-provider test coverage for model-config route,open,2026-08-15T06:54:52Z,https://github.com/FChecklist/compliance-tracker/pull/1223,
compliance-tracker#1222,pr,FChecklist/compliance-tracker,API Governance: document public API rate-limit defaults/values,open,2026-08-15T06:54:14Z,https://github.com/FChecklist/compliance-tracker/pull/1222,
compliance-tracker#1220,pr,FChecklist/compliance-tracker,AI Engineering Quality: split task-execution-engine.ts by responsibility,open,2026-08-15T06:45:13Z,https://github.com/FChecklist/compliance-tracker/pull/1220,
compliance-tracker#1218,pr,FChecklist/compliance-tracker,"AI Maintainability / Change Risk Management: dependency index, rollback runbook, confidence audit",open,2026-08-15T06:25:18Z,https://github.com/FChecklist/compliance-tracker/pull/1218,
compliance-tracker#1217,pr,FChecklist/compliance-tracker,AI Maintainability / AI Safe-Change Capability gap closure (5 findings),open,2026-08-15T06:08:46Z,https://github.com/FChecklist/compliance-tracker/pull/1217,
compliance-tracker#1216,pr,FChecklist/compliance-tracker,"AI Engineering Quality gap-closure: dead-code/dup-code detection, debt score, complexity rule, auth-guard tests",open,2026-08-15T06:06:52Z,https://github.com/FChecklist/compliance-tracker/pull/1216,
compliance-tracker#1215,pr,FChecklist/compliance-tracker,AI Engineering Quality gap-closure: Code Structure & Modularity,open,2026-08-15T05:59:48Z,https://github.com/FChecklist/compliance-tracker/pull/1215,
compliance-tracker#1214,pr,FChecklist/compliance-tracker,AI Engineering Quality: Logic Separation & Determinism gap-closure,open,2026-08-15T05:48:34Z,https://github.com/FChecklist/compliance-tracker/pull/1214,
compliance-tracker#1213,pr,FChecklist/compliance-tracker,AI Engineering Quality / AI-Modification Readiness gap-closure,open,2026-08-15T05:42:46Z,https://github.com/FChecklist/compliance-tracker/pull/1213,
compliance-tracker#1212,pr,FChecklist/compliance-tracker,AI Cost Governance and FinOps: per-tenant visibility UI plus invoice reconciliation (rebase of PR 687),open,2026-08-15T05:34:15Z,https://github.com/FChecklist/compliance-tracker/pull/1212,
compliance-tracker#1211,pr,FChecklist/compliance-tracker,docs(ai-os): AI Documentation / Documentation Lifecycle gap-closure -- real merge onto current main,open,2026-08-15T05:32:33Z,https://github.com/FChecklist/compliance-tracker/pull/1211,
compliance-tracker#1210,pr,FChecklist/compliance-tracker,"docs: AI-Readable Technical Documentation gap-closure (rebased, supersedes #1047/#1048)",open,2026-08-15T05:25:33Z,https://github.com/FChecklist/compliance-tracker/pull/1210,
compliance-tracker#1209,pr,FChecklist/compliance-tracker,"chore: reconcile stale ACTIVE-CLAIMS.yaml entry (AI Cost Governance & FinOps task, already merged as PR 424)",open,2026-08-15T05:20:16Z,https://github.com/FChecklist/compliance-tracker/pull/1209,
compliance-tracker#1208,pr,FChecklist/compliance-tracker,docs: task-20260815-045117 duplicate-dispatch finding: UMR-20260806-141250-1ceb already completed (veridian-scripts PR 176),open,2026-08-15T04:56:27Z,https://github.com/FChecklist/compliance-tracker/pull/1208,
compliance-tracker#1207,pr,FChecklist/compliance-tracker,"Real reject both external agent pilot submissions, real prompt design fix, then real internal close of both points",open,2026-08-15T04:54:38Z,https://github.com/FChecklist/compliance-tracker/pull/1207,
compliance-tracker#1205,pr,FChecklist/compliance-tracker,docs: real reconcile-stale sweep run + child UMR-20260815-044300-b45e (SPEC found 9 days stale),open,2026-08-15T04:46:58Z,https://github.com/FChecklist/compliance-tracker/pull/1205,
compliance-tracker#1204,pr,FChecklist/compliance-tracker,"docs: RCA UMR-20260806-112012-65c3 - directive-engine stop = PM-authorized stop, instrumentation already live+confirmed, fix already landed",open,2026-08-15T04:41:43Z,https://github.com/FChecklist/compliance-tracker/pull/1204,
compliance-tracker#1202,pr,FChecklist/compliance-tracker,"docs+fix: Z.AI GTM merge/enumeration status, 139 points, plus carry forward PR 1200 closure fixes",open,2026-08-15T04:29:28Z,https://github.com/FChecklist/compliance-tracker/pull/1202,
compliance-tracker#1201,pr,FChecklist/compliance-tracker,docs: P0 dispatch-queue-starvation blocker -- fail-closed fix landed cross-repo as veridian-scripts#405,open,2026-08-15T04:28:14Z,https://github.com/FChecklist/compliance-tracker/pull/1201,
compliance-tracker#1200,pr,FChecklist/compliance-tracker,"fix: close 4 real Z.ai black-box findings (CSP/XFO headers, forgot-password 404, sitemap domain)",open,2026-08-15T03:58:21Z,https://github.com/FChecklist/compliance-tracker/pull/1200,
compliance-tracker#1199,pr,FChecklist/compliance-tracker,"feat: real GTM cat15/16 dummy-tenant provisioning + tests (owner-delegated, finishes stranded PR 1002)",open,2026-08-15T03:50:32Z,https://github.com/FChecklist/compliance-tracker/pull/1199,
compliance-tracker#1198,pr,FChecklist/compliance-tracker,docs: real per-task progress file for task-20260806-151345 (UMR-20260806-151559-30d5),open,2026-08-15T03:40:14Z,https://github.com/FChecklist/compliance-tracker/pull/1198,
compliance-tracker#1197,pr,FChecklist/compliance-tracker,"docs: PM diagnosis PR 954/959/962 -- review gate already lifted; PR 962 merged, 954/959 real conflicts left open",open,2026-08-15T03:39:22Z,https://github.com/FChecklist/compliance-tracker/pull/1197,
compliance-tracker#1196,pr,FChecklist/compliance-tracker,"docs: RCA UMR-20260806-095628-5547 phantom dispatch, 8.7d no real process, verified live",open,2026-08-15T03:39:15Z,https://github.com/FChecklist/compliance-tracker/pull/1196,
compliance-tracker#1195,pr,FChecklist/compliance-tracker,RCA: UMR-20260807-030725-f8dd killed,open,2026-08-14T21:32:47Z,https://github.com/FChecklist/compliance-tracker/pull/1195,
compliance-tracker#1194,pr,FChecklist/compliance-tracker,"RCA: UMR-20260807-101751-68ff killed (4th dispatch, duplicate + root-cause found)",open,2026-08-14T21:27:28Z,https://github.com/FChecklist/compliance-tracker/pull/1194,
compliance-tracker#1193,pr,FChecklist/compliance-tracker,"docs: RCA of UMR-20260807-063911-48c3 killed -- 4th dispatch, closed as duplicate of merged PR #1168",open,2026-08-14T21:24:57Z,https://github.com/FChecklist/compliance-tracker/pull/1193,
compliance-tracker#1192,pr,FChecklist/compliance-tracker,"docs: RCA UMR-20260813-092654-326b (killed), real Amendment 2 scope already implemented in veridian-scripts",open,2026-08-14T21:23:39Z,https://github.com/FChecklist/compliance-tracker/pull/1192,
compliance-tracker#1191,pr,FChecklist/compliance-tracker,"RCA UMR-20260807-063918-f15d (3rd dispatch): correctly killed, no correction needed",open,2026-08-14T21:22:14Z,https://github.com/FChecklist/compliance-tracker/pull/1191,
compliance-tracker#1188,pr,FChecklist/compliance-tracker,"docs: RCA UMR-20260808-215121-1e87 -- 5th confirmation, correctly killed",open,2026-08-14T20:22:08Z,https://github.com/FChecklist/compliance-tracker/pull/1188,
compliance-tracker#1180,pr,FChecklist/compliance-tracker,"docs: RCA for UMR-20260806-180933-d3bb (killed): real work already complete, corrected to completed_unmerged",open,2026-08-14T17:24:58Z,https://github.com/FChecklist/compliance-tracker/pull/1180,
compliance-tracker#1179,pr,FChecklist/compliance-tracker,"docs: RCA for UMR-20260814-170119-7a8a status=running -- real completed work, stale row corrected",open,2026-08-14T17:23:55Z,https://github.com/FChecklist/compliance-tracker/pull/1179,
compliance-tracker#1177,pr,FChecklist/compliance-tracker,docs: RCA of UMR-20260806-175541-f164 (killed) -- correct kill + new proposal for a real target-discovery bug,open,2026-08-14T16:30:38Z,https://github.com/FChecklist/compliance-tracker/pull/1177,
compliance-tracker#1175,pr,FChecklist/compliance-tracker,RCA: UMR-20260807-063851-df5e killed,open,2026-08-14T16:26:22Z,https://github.com/FChecklist/compliance-tracker/pull/1175,
compliance-tracker#1174,pr,FChecklist/compliance-tracker,"docs: RCA of UMR-20260806-202449-2e09, killed, PM disk-hold, not a failure",open,2026-08-14T16:23:28Z,https://github.com/FChecklist/compliance-tracker/pull/1174,
compliance-tracker#1172,pr,FChecklist/compliance-tracker,"docs: RCA UMR-20260807-003517-23bb -- already correctly terminal, closed 3 duplicate PRs",open,2026-08-14T15:23:44Z,https://github.com/FChecklist/compliance-tracker/pull/1172,
compliance-tracker#1171,pr,FChecklist/compliance-tracker,"docs: RCA UMR-20260813-092654-326b (killed) -- confirmed accurate, duplicate of stuck PR #1120, scope merged via pm-sentinel-tick.sh PR #299",open,2026-08-14T15:21:41Z,https://github.com/FChecklist/compliance-tracker/pull/1171,
compliance-tracker#1169,pr,FChecklist/compliance-tracker,"docs: RCA UMR-20260807-063918-f15d (killed) -- 3rd dispatch, correctly-killed confirmed, repeat-dispatch pattern flagged",open,2026-08-14T15:20:45Z,https://github.com/FChecklist/compliance-tracker/pull/1169,
compliance-tracker#1165,pr,FChecklist/compliance-tracker,"docs: RCA UMR-20260808-215121-1e87 -- 4th confirmation, correctly killed",open,2026-08-14T14:19:47Z,https://github.com/FChecklist/compliance-tracker/pull/1165,
compliance-tracker#1163,pr,FChecklist/compliance-tracker,Tier-4 aider+litellm auto-commit fallback fix verification,open,2026-08-14T13:33:18Z,https://github.com/FChecklist/compliance-tracker/pull/1163,
compliance-tracker#1162,pr,FChecklist/compliance-tracker,"docs: RCA UMR-20260814-125542-c8ce -- status-row already self-corrected, real reject root cause confirmed",open,2026-08-14T13:31:02Z,https://github.com/FChecklist/compliance-tracker/pull/1162,
